fecha,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha
"2018-01-17 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.9","0","7.3","2018-01-17 03:34:00","22.5","2018-01-17 14:53:00","32","4.7","13.3","2018-01-17 09:11:00"
"2018-01-18 00:00:00","CARTAGENA","MURCIA","17","12.9","0","9.7","2018-01-18 00:00:00","16.1","2018-01-18 13:20:00","6","1.4","7.5","2018-01-18 12:40:00"
"2018-01-18 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","12.5","0","8.3","2018-01-18 07:22:00","16.7","2018-01-18 12:53:00","1","4.4","9.7","2018-01-18 10:09:00"
"2018-01-19 00:00:00","CARTAGENA","MURCIA","17","12.6","0","9.3","2018-01-19 23:59:00","15.9","2018-01-19 16:00:00","23","1.1","5.3","2018-01-19 19:10:00"
"2018-01-19 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11.8","0","7.3","2018-01-19 23:47:00","16.3","2018-01-19 14:37:00","32","1.4","6.7","2018-01-19 01:39:00"
"2018-01-20 00:00:00","CARTAGENA","MURCIA","17","13.8","0","9","2018-01-20 00:40:00","18.6","2018-01-20 12:00:00","22","3.1","10.3","2018-01-20 15:20:00"
"2018-01-20 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","14.4","0","7.2","2018-01-20 00:05:00","21.7","2018-01-20 13:11:00","25","4.2","11.4","2018-01-20 12:35:00"
"2018-01-21 00:00:00","CARTAGENA","MURCIA","17","18.6","0","13.9","2018-01-21 01:00:00","23.2","2018-01-21 13:50:00","32","0.8","10","2018-01-21 11:20:00"
"2018-01-21 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","18","0","11.2","2018-01-21 00:49:00","24.8","2018-01-21 14:52:00","99","7.2","16.1","2018-01-21 00:00:00"
"2018-01-22 00:00:00","CARTAGENA","MURCIA","17","15.8","0","11.9","2018-01-22 07:50:00","19.7","2018-01-22 13:10:00","18","1.9","7.8","2018-01-22 14:10:00"
"2018-01-22 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","17.6","0","9.4","2018-01-22 23:44:00","25.8","2018-01-22 12:51:00","21","4.4","9.2","2018-01-22 00:00:00"
"2018-01-23 00:00:00","CARTAGENA","MURCIA","17","14.8","0","9.2","2018-01-23 07:50:00","20.4","2018-01-23 16:20:00","10","1.1","5","2018-01-23 12:40:00"
"2018-01-23 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","13.6","0","7.3","2018-01-23 07:27:00","19.9","2018-01-23 11:13:00","99","2.2","5","2018-01-23 00:00:00"
"2018-01-24 00:00:00","CARTAGENA","MURCIA","17","12.6","0","8.2","2018-01-24 07:20:00","17.1","2018-01-24 10:50:00","19","1.1","4.4","2018-01-24 16:20:00"
"2018-01-24 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11","0","4.4","2018-01-24 06:42:00","17.5","2018-01-24 13:35:00","27","1.7","4.2","2018-01-24 20:03:00"
"2018-01-25 00:00:00","CARTAGENA","MURCIA","17","11.2","0.2","7.6","2018-01-25 07:00:00","14.8","2018-01-25 15:00:00","20","2.2","10","2018-01-25 16:40:00"
"2018-01-25 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","10.4","0.1","4.4","2018-01-25 04:04:00","16.3","2018-01-25 13:33:00","99","2.5","10.8","2018-01-25 00:00:00"
"2018-01-26 00:00:00","CARTAGENA","MURCIA","17","12.4","0","10.2","2018-01-26 01:00:00","14.7","2018-01-26 15:40:00","32","2.5","11.9","2018-01-26 08:20:00"
"2018-01-26 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","10.8","0","5.7","2018-01-26 06:46:00","15.8","2018-01-26 14:17:00","99","6.1","15","2018-01-26 00:00:00"
"2018-01-27 00:00:00","CARTAGENA","MURCIA","17","12","16.1","8.6","2018-01-27 23:40:00","15.4","2018-01-27 14:00:00","29","2.5","8.6","2018-01-27 09:10:00"
"2018-01-27 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","11.4","23.2","6.3","2018-01-27 06:09:00","16.5","2018-01-27 12:46:00","35","5.8","14.4","2018-01-27 23:26:00"
"2018-01-28 00:00:00","CARTAGENA","MURCIA","17","12","0.3","8.7","2018-01-28 02:00:00","15.4","2018-01-28 12:20:00","36","1.7","8.1","2018-01-28 00:30:00"
"2018-01-28 00:00:00","SAN JAVIER AEROPUERTO","MURCIA","4","12.2","0.2","8.3","2018-01-28 00:00:00","16.2","2018-01-28 11:52:00","8","4.7","14.4","2018-01-28 02:15:00"
